Epoch,Train_Loss,Class_Loss,Cons_Loss,Val_Loss,Val_IoU,Mode
1,1.5573241819034924,0,0,12.056426286697388,0.1179596446454525,Standard
2,0.6720012914050709,0,0,1.475499838590622,0.11422689259052277,Standard
3,0.415329326282848,0,0,1.0846918821334839,0.049086070619523525,Standard
4,0.35339510576291516,0,0,0.3987739831209183,0.5273852646350861,Standard
5,0.29441276463595306,0,0,0.33207564800977707,0.5966529548168182,Standard
6,0.26126578517935495,0,0,0.3332826644182205,0.609963908791542,Standard
7,0.2342255101962523,0,0,0.30764957517385483,0.6246522814035416,Standard
8,0.2066314552317966,0,0,0.29955605417490005,0.6249417364597321,Standard
9,0.1843419698151675,0,0,0.2979573458433151,0.6315714865922928,Standard
10,0.16175030781464142,0,0,0.32267484068870544,0.6115007996559143,Standard
11,0.14624218913641843,0,0,0.3084288612008095,0.6381288319826126,Standard
12,0.1371978379108689,0,0,0.3456299155950546,0.6087608188390732,Standard
13,0.12315188348293304,0,0,0.3247203528881073,0.6341235041618347,Standard
14,0.11881593682549217,0,0,0.3114583417773247,0.6343911737203598,Standard
15,0.10365018959749829,0,0,0.3116501420736313,0.6386483758687973,Standard
16,0.09655509516596794,0,0,0.29980244114995,0.648446574807167,Standard
17,0.09253893589431589,0,0,0.2939194589853287,0.6555921584367752,Standard
18,0.0812476710839705,0,0,0.305411696434021,0.6666771918535233,Standard
19,0.07707491144537926,0,0,0.3360545262694359,0.6259744465351105,Standard
20,0.07173814895478162,0,0,0.3014373779296875,0.6596591174602509,Standard
