Epoch,Train_Loss,Class_Loss,Cons_Loss,Val_Loss,Val_IoU,Mode
1,0.7246868014335632,0,0,8.911733388900757,0.11792108230292797,Standard
2,0.23435410315340216,0,0,0.46247419714927673,0.08762616291642189,Standard
3,0.13272138854319399,0,0,0.5652520060539246,0.029268008656799793,Standard
4,0.09818800640377132,0,0,0.11759812757372856,0.4962131604552269,Standard
5,0.0733917159113017,0,0,0.09276189841330051,0.5680734664201736,Standard
6,0.06272162852639501,0,0,0.12304164841771126,0.5146187916398048,Standard
7,0.050535581836646255,0,0,0.08531021140515804,0.6069257706403732,Standard
8,0.040604246272282166,0,0,0.11441002041101456,0.5299385339021683,Standard
9,0.03468087933618914,0,0,0.13177937269210815,0.512876957654953,Standard
10,0.03220138952813365,0,0,0.09243359789252281,0.594192385673523,Standard
11,0.025455696508288383,0,0,0.08371829427778721,0.6125892847776413,Standard
12,0.02406741763380441,0,0,0.08696985803544521,0.6094111502170563,Standard
13,0.022289952432567425,0,0,0.08293920196592808,0.6277285516262054,Standard
14,0.01977646139196374,0,0,0.11585571616888046,0.5610610619187355,Standard
15,0.018095380372621796,0,0,0.09372235648334026,0.594351053237915,Standard
16,0.0154360139911825,0,0,0.09112953208386898,0.6204000264406204,Standard
17,0.013617874504151669,0,0,0.08441142179071903,0.6433621346950531,Standard
18,0.012740191707218235,0,0,0.09787594899535179,0.6128160357475281,Standard
19,0.012329459740695629,0,0,0.08518497459590435,0.6362796872854233,Standard
20,0.010761152783578093,0,0,0.08301233500242233,0.6441875845193863,Standard
