Epoch,Train_Loss,Class_Loss,Cons_Loss,Val_Loss,Val_IoU,Mode
1,0.9412803162227977,0,0,7.761736512184143,0.11644466407597065,Standard
2,0.27976109155199747,0,0,0.5805947780609131,0.10582253336906433,Standard
3,0.19281864911317825,0,0,0.36372649669647217,0.07982353121042252,Standard
4,0.15901979804039001,0,0,0.23807261511683464,0.2869061902165413,Standard
5,0.1377779712731188,0,0,0.1731300987303257,0.4348767325282097,Standard
6,0.11796973645687103,0,0,0.19764137268066406,0.41081417351961136,Standard
7,0.10068421641534026,0,0,0.1923808455467224,0.45282064378261566,Standard
8,0.08608391745523973,0,0,0.1981169693171978,0.4876268431544304,Standard
9,0.07783076912164688,0,0,0.2393362559378147,0.4628725051879883,Standard
10,0.06918744319541888,0,0,0.1530643366277218,0.5663566887378693,Standard
11,0.06413565863939849,0,0,0.5643339157104492,0.39578864723443985,Standard
12,0.06158459186553955,0,0,0.15697719156742096,0.5437118113040924,Standard
13,0.05556680990213698,0,0,0.14868228882551193,0.6015390306711197,Standard
14,0.048770116811448876,0,0,0.15233402140438557,0.5987543612718582,Standard
15,0.045021701604127884,0,0,0.16632822155952454,0.5925021171569824,Standard
16,0.04073429530994459,0,0,0.16510285064578056,0.6214152872562408,Standard
17,0.036609008061614906,0,0,0.16147588193416595,0.614931121468544,Standard
18,0.03466253829273311,0,0,0.22187486663460732,0.5345770791172981,Standard
19,0.03441852525892583,0,0,0.16334174200892448,0.6221622824668884,Standard
20,0.03092318984933875,0,0,0.17060109227895737,0.6285053938627243,Standard
