Epoch,Train_Loss,Class_Loss,Cons_Loss,Val_Loss,Val_IoU,Mode
1,0.8606760772791776,0,0,1.189378261566162,0.1163671538233757,Standard
2,0.6483454677191648,0,0,0.9393269419670105,0.08311123959720135,Standard
3,0.5546894696625796,0,0,0.5676937699317932,0.323540598154068,Standard
4,0.509983706203374,0,0,0.5380146503448486,0.3523143380880356,Standard
5,0.4749611792239276,0,0,1.9747655093669891,0.1460254266858101,Standard
6,0.43464672429995105,0,0,0.5185374319553375,0.3651648610830307,Standard
7,0.4047798744656823,0,0,0.4564127251505852,0.42851533740758896,Standard
8,0.3788802610202269,0,0,0.4434596747159958,0.428059957921505,Standard
9,0.35516519438136707,0,0,0.43683360517024994,0.4355330541729927,Standard
10,0.3311929553747177,0,0,0.44671402871608734,0.4309740215539932,Standard
11,0.30965182185173035,0,0,0.4135018140077591,0.4617592543363571,Standard
12,0.2897427651015195,0,0,0.4462069571018219,0.43698038160800934,Standard
13,0.2703996950929815,0,0,0.5124826729297638,0.3838191404938698,Standard
14,0.2515596639026295,0,0,0.3662117272615433,0.5233326256275177,Standard
15,0.2331534746018323,0,0,0.4103901833295822,0.47633176296949387,Standard
16,0.21885244819250974,0,0,0.3655508756637573,0.5210466310381889,Standard
17,0.2005175785584883,0,0,0.37480057775974274,0.5160434395074844,Standard
18,0.1880872757597403,0,0,0.3384573608636856,0.55506531894207,Standard
19,0.17851143059405414,0,0,0.32896414399147034,0.5720167309045792,Standard
20,0.16471075402064758,0,0,0.31959573179483414,0.5787652730941772,Standard
