Epoch,Train_Loss,Class_Loss,Cons_Loss,Val_Loss,Val_IoU,Mode
1,0.7543240677226674,0,0,0.7890243977308273,0.11798138171434402,Standard
2,0.4500885280695828,0,0,0.7890128344297409,0.1179882325232029,Standard
3,0.24732145125215704,0,0,0.9669918566942215,0.016817196737974882,Standard
4,0.2114855484528975,0,0,0.3057732582092285,0.5319561511278152,Standard
5,0.18816332112659107,0,0,0.24361294507980347,0.6082915514707565,Standard
6,0.16267771612514148,0,0,0.21553818881511688,0.6457030326128006,Standard
7,0.1525532305240631,0,0,0.25451239943504333,0.5955477058887482,Standard
8,0.1380664733323184,0,0,0.20634537935256958,0.6582915037870407,Standard
9,0.12647849321365356,0,0,0.19693881273269653,0.6712721586227417,Standard
10,0.11695334586230191,0,0,0.3255743384361267,0.5101111754775047,Standard
11,0.10497227852994745,0,0,0.26624009013175964,0.5810802280902863,Standard
12,0.10092877799814398,0,0,0.19100543856620789,0.6800623536109924,Standard
13,0.08912241729823026,0,0,0.19321376085281372,0.6766709387302399,Standard
14,0.08470717614347284,0,0,0.18867428600788116,0.6830099076032639,Standard
15,0.0784855295311321,0,0,0.1920897215604782,0.6787384003400803,Standard
16,0.0737417448650707,0,0,0.19859357178211212,0.6694497615098953,Standard
17,0.06896828250451521,0,0,0.1957562416791916,0.6731571555137634,Standard
18,0.06453595107251947,0,0,0.23195143043994904,0.6247527450323105,Standard
19,0.06096948818726973,0,0,0.2118549644947052,0.651101142168045,Standard
20,0.05664410645311529,0,0,0.19909484684467316,0.6686571389436722,Standard
