Epoch,Train_Loss,Class_Loss,Cons_Loss,Val_Loss,Val_IoU,Mode
1,0.8395152390003204,0,0,0.8784640431404114,0.1445389725267887,Standard
2,0.6221927241845564,0,0,0.7870533764362335,0.27722786366939545,Standard
3,0.546899909322912,0,0,0.6484025120735168,0.32032521814107895,Standard
4,0.5088120793754404,0,0,0.4943908154964447,0.38443105667829514,Standard
5,0.47634524377909576,0,0,0.46240437775850296,0.41214970499277115,Standard
6,0.45282515206120233,0,0,0.4776092767715454,0.4031606987118721,Standard
7,0.42842797393148596,0,0,0.45195135474205017,0.4153840094804764,Standard
8,0.40171751515431836,0,0,0.5208522230386734,0.38362743705511093,Standard
9,0.38284957002509723,0,0,0.40615125745534897,0.460507832467556,Standard
10,0.3596178076483987,0,0,0.4116278290748596,0.47369177639484406,Standard
11,0.3366807902401144,0,0,0.3896744176745415,0.4803099110722542,Standard
12,0.3185201747850938,0,0,0.3726382777094841,0.4999936521053314,Standard
13,0.3005411245606162,0,0,0.36835404485464096,0.5090662688016891,Standard
14,0.2810130322521383,0,0,0.34933995455503464,0.5297566801309586,Standard
15,0.2657058462500572,0,0,0.35678015649318695,0.5195875465869904,Standard
16,0.24558926576917822,0,0,0.33103733509778976,0.5544657409191132,Standard
17,0.22699266468936746,0,0,0.3301139548420906,0.5530354529619217,Standard
18,0.21351114795966583,0,0,0.31512148678302765,0.5788281410932541,Standard
19,0.20052565295587887,0,0,0.395583800971508,0.495611310005188,Standard
20,0.19148184697736392,0,0,0.31718121469020844,0.5729954540729523,Standard
