Epoch,Train_Loss,Class_Loss,Cons_Loss,Val_Loss,Val_IoU,Mode
1,0.9926022535020654,0,0,10.656104803085327,0.11797662824392319,Standard
2,0.4910754209214991,0,0,1.098449558019638,0.028940272983163595,Standard
3,0.3658457560972734,0,0,1.174997091293335,0.0167717223521322,Standard
4,0.3151494467800314,0,0,0.40193676948547363,0.5210967808961868,Standard
5,0.272217643531886,0,0,0.31896595656871796,0.60277059674263,Standard
6,0.23417843133211136,0,0,0.4806237742304802,0.4727827087044716,Standard
7,0.21767672964117743,0,0,0.32161595672369003,0.5984551757574081,Standard
8,0.18550136143510992,0,0,0.32192617654800415,0.6049266159534454,Standard
9,0.17207685722546143,0,0,0.2968282774090767,0.6331447064876556,Standard
10,0.15375950119712137,0,0,0.36170727759599686,0.5801562294363976,Standard
11,0.13863611221313477,0,0,0.3039504960179329,0.6334371268749237,Standard
12,0.12635945054617795,0,0,0.2973886653780937,0.6404493600130081,Standard
13,0.11596247824755582,0,0,0.31859099864959717,0.6185480803251266,Standard
14,0.10382493788545782,0,0,0.3491964265704155,0.605481281876564,Standard
15,0.09167519956827164,0,0,0.3125874623656273,0.6365066319704056,Standard
16,0.08977520059455525,0,0,0.311707466840744,0.6379998177289963,Standard
17,0.078457138416442,0,0,0.32790177315473557,0.629927858710289,Standard
18,0.07799635082483292,0,0,0.3196132481098175,0.6372789144515991,Standard
19,0.0737989851358262,0,0,0.33381441980600357,0.6237292587757111,Standard
20,0.06881459717723457,0,0,0.31099167466163635,0.6452555507421494,Standard
