Epoch,Train_Loss,Class_Loss,Cons_Loss,Val_Loss,Val_IoU,Mode
1,1.0746519484303214,0,0,1.378202497959137,0.02192310569807887,Standard
2,0.44490972567688336,0,0,1.191451832652092,0.07230590842664242,Standard
3,0.30097136104648764,0,0,0.3179275505244732,0.623855471611023,Standard
4,0.24551541222767395,0,0,0.427538737654686,0.5301093757152557,Standard
5,0.21434124491431497,0,0,0.30595701187849045,0.6442542523145676,Standard
6,0.19834352081472223,0,0,0.2880106270313263,0.6473335176706314,Standard
7,0.18295432491735977,0,0,0.29224793612957,0.6401515752077103,Standard
8,0.17277037826451389,0,0,0.7299956381320953,0.3963891565799713,Standard
9,0.16341838308356024,0,0,0.277127169072628,0.6609124839305878,Standard
10,0.1481710889122703,0,0,0.3097566142678261,0.6288488507270813,Standard
11,0.12819108908826654,0,0,0.2539288327097893,0.6909035295248032,Standard
12,0.11699418892914598,0,0,0.2758050486445427,0.6727634221315384,Standard
13,0.11217037080363794,0,0,0.26370591297745705,0.6930412501096725,Standard
14,0.10164733603596687,0,0,0.2527770437300205,0.6955977082252502,Standard
15,0.0915757834234021,0,0,0.27902901917696,0.6794179975986481,Standard
16,0.08794233338399367,0,0,0.2606049031019211,0.6964804083108902,Standard
17,0.07932524383068085,0,0,0.2705235928297043,0.68720343708992,Standard
18,0.07202098840339617,0,0,0.27015549689531326,0.6893469840288162,Standard
19,0.06796850230206143,0,0,0.2663292847573757,0.7014678716659546,Standard
20,0.06378293545408682,0,0,0.26736100763082504,0.704275980591774,Standard
