Epoch,Train_Loss,Class_Loss,Cons_Loss,Val_Loss,Val_IoU,Mode
1,1.1628464324907823,0,0,12.409583806991577,0.11795327067375183,Standard
2,0.626378205689517,0,0,2.103786528110504,0.11766263283789158,Standard
3,0.4869560369036414,0,0,1.4574018716812134,0.02370677050203085,Standard
4,0.39846288616007025,0,0,0.8041906803846359,0.33300497382879257,Standard
5,0.33735299787738104,0,0,0.6295241415500641,0.44575195759534836,Standard
6,0.2977528992024335,0,0,0.44462013244628906,0.5841849595308304,Standard
7,0.26468364081599494,0,0,0.5378855913877487,0.5360956564545631,Standard
8,0.22573154284195465,0,0,0.6449108123779297,0.47352802753448486,Standard
9,0.21721910549835724,0,0,0.4406866580247879,0.6091012060642242,Standard
10,0.19257663935422897,0,0,0.471459336578846,0.5922691971063614,Standard
11,0.18029782785610718,0,0,0.41236496716737747,0.6322651505470276,Standard
12,0.15969941697337411,0,0,0.41331199556589127,0.6354707032442093,Standard
13,0.14359767938202078,0,0,0.4110924005508423,0.6451988369226456,Standard
14,0.12263242595575073,0,0,0.419797882437706,0.650356113910675,Standard
15,0.12393258274956183,0,0,0.48235397040843964,0.6173736751079559,Standard
16,0.11145395921035246,0,0,0.4479033052921295,0.6355182528495789,Standard
17,0.09721720150925896,0,0,0.4568639472126961,0.6359239518642426,Standard
18,0.09153277054429054,0,0,0.47681067138910294,0.6294666826725006,Standard
19,0.08774641494859349,0,0,0.4443007856607437,0.6549059599637985,Standard
20,0.0781045403670181,0,0,0.470426008105278,0.6437708586454391,Standard
