Epoch,Train_Loss,Class_Loss,Cons_Loss,Val_Loss,Val_IoU,Mode
1,1.140783280134201,0,0,5.082729697227478,0.11501595191657543,Standard
2,0.5163958208127455,0,0,0.9959487468004227,0.05837504006922245,Standard
3,0.3681873326951807,0,0,1.141163319349289,0.023691512178629637,Standard
4,0.30298562889749353,0,0,0.3962888568639755,0.5127798467874527,Standard
5,0.2561240223321048,0,0,0.4322570487856865,0.4185936972498894,Standard
6,0.22349786893887955,0,0,0.5461893156170845,0.4238896071910858,Standard
7,0.2039634178985249,0,0,0.28280603885650635,0.5904432237148285,Standard
8,0.17634916508739645,0,0,0.30148882418870926,0.6295439451932907,Standard
9,0.15292007205161182,0,0,0.29215893149375916,0.6003360599279404,Standard
10,0.1412847861647606,0,0,0.29382968693971634,0.593850314617157,Standard
11,0.13036389818245714,0,0,0.27411219105124474,0.6234374940395355,Standard
12,0.12463061138987541,0,0,0.26802872866392136,0.637289971113205,Standard
13,0.11409436538815498,0,0,0.292386494576931,0.6475629210472107,Standard
14,0.10197317126122388,0,0,0.29955442249774933,0.5975337475538254,Standard
15,0.09400125186551701,0,0,0.29410339891910553,0.6299257576465607,Standard
16,0.08522999693046916,0,0,0.3347119390964508,0.5544333085417747,Standard
17,0.07893883978778665,0,0,0.27791281789541245,0.649541974067688,Standard
18,0.07477007298306985,0,0,0.2992484122514725,0.6119707524776459,Standard
19,0.07067416201938283,0,0,0.30460649728775024,0.6228579133749008,Standard
20,0.07068510895425623,0,0,0.289574533700943,0.6296517103910446,Standard
